Mg2SiO3,,,,,,,Mg4SiO3,,,,,,Mg3SiO4,,,,
Energy,PDOS,,,,,,Energy,PDOS,,,,,Energy,PDOS,,,
eV,Mg 3s,Si 3p,O 2p,ISQ,,,eV,Mg 3s,Si 3p,O 2p,,,eV,Mg 3s,Si 3p,O 2p,ISQ
,,,,,,,,,,,,,,,,,
-29.92117,0.05348,0.05312,0.01997,0.03504,,,-36.11268,0.02918,0.07966,0.05318,,,-27.94665,0.08872,0.01913,0.04087,0.06214
-29.88717,0.05384,0.05539,0.02028,0.03504,,,-36.07068,0.02761,0.07964,0.05297,,,-27.91165,0.08306,0.01874,0.03915,0.05886
-29.85317,0.05396,0.05744,0.02048,0.03482,,,-36.02868,0.02616,0.07904,0.05273,,,-27.87565,0.07838,0.0186,0.03785,0.05618
-29.81917,0.05384,0.05929,0.02059,0.03444,,,-35.98568,0.02494,0.07797,0.05263,,,-27.84065,0.07504,0.01877,0.0371,0.05434
-29.78517,0.05352,0.06099,0.02061,0.03392,,,-35.94368,0.02398,0.07644,0.05277,,,-27.80565,0.07298,0.01921,0.03681,0.05324
-29.75117,0.05308,0.06257,0.02057,0.0333,,,-35.90068,0.02329,0.07462,0.05322,,,-27.76965,0.072,0.01983,0.03679,0.05256
-29.71717,0.05252,0.06402,0.02049,0.03262,,,-35.85868,0.02284,0.07252,0.05397,,,-27.73465,0.07148,0.02048,0.03672,0.0519
-29.68317,0.05176,0.06528,0.02036,0.0319,,,-35.81568,0.02257,0.07018,0.05493,,,-27.69965,0.07088,0.02098,0.03636,0.05088
-29.64917,0.05088,0.06627,0.0202,0.03116,,,-35.77368,0.0224,0.06768,0.056,,,-27.66465,0.0698,0.02126,0.03557,0.04928
-29.61517,0.0498,0.06691,0.01999,0.03036,,,-35.73068,0.02224,0.065,0.05698,,,-27.62865,0.0681,0.02126,0.0343,0.04708
-29.58117,0.04856,0.06715,0.01975,0.02956,,,-35.68868,0.02202,0.06226,0.05771,,,-27.59365,0.06586,0.02108,0.03276,0.04448
-29.54817,0.04732,0.06713,0.01951,0.02876,,,-35.64568,0.02168,0.05957,0.05817,,,-27.55865,0.06346,0.02086,0.03117,0.04182
-29.51417,0.04616,0.06705,0.01929,0.02802,,,-35.60368,0.02121,0.05712,0.05827,,,-27.52365,0.06148,0.02077,0.02984,0.0395
-29.48017,0.04536,0.06727,0.01918,0.02742,,,-35.56068,0.02063,0.05509,0.05815,,,-27.48765,0.06033,0.02105,0.02902,0.03788
-29.44617,0.04508,0.06819,0.0192,0.02696,,,-35.51868,0.01999,0.05355,0.05785,,,-27.45265,0.06047,0.02184,0.02886,0.03708
-29.41217,0.04548,0.07021,0.0194,0.02672,,,-35.47568,0.01934,0.0525,0.05748,,,-27.41765,0.06204,0.02328,0.02935,0.03714
-29.37817,0.04672,0.07355,0.0198,0.02672,,,-35.43368,0.0187,0.05187,0.05718,,,-27.38265,0.06512,0.0254,0.03037,0.03782
-29.34417,0.04872,0.07835,0.02042,0.02692,,,-35.39168,0.01814,0.0515,0.05693,,,-27.34665,0.0695,0.02818,0.03168,0.03882
-29.31017,0.0514,0.08442,0.0212,0.02732,,,-35.34868,0.01761,0.05131,0.0569,,,-27.31165,0.07494,0.03159,0.03308,0.0398
-29.27617,0.05444,0.09141,0.02212,0.02782,,,-35.30668,0.01712,0.05123,0.05698,,,-27.27665,0.08126,0.03552,0.03431,0.04048
-29.24217,0.0576,0.09879,0.0231,0.02838,,,-35.26368,0.01665,0.05114,0.0572,,,-27.24065,0.0881,0.03987,0.03532,0.0407
-29.20817,0.06048,0.10592,0.02404,0.0289,,,-35.22168,0.01617,0.05091,0.05747,,,-27.20565,0.09512,0.04447,0.03601,0.04044
-29.17417,0.06276,0.11226,0.02488,0.02928,,,-35.17868,0.01569,0.05044,0.05758,,,-27.17065,0.10208,0.04921,0.03649,0.03976
-29.14017,0.0642,0.11732,0.02552,0.02948,,,-35.13668,0.01521,0.04959,0.05752,,,-27.13565,0.10858,0.05387,0.03679,0.03882
